knowledge_id,topic_id,source_id,title,summary,review_status,content_status,published_date,last_reviewed_date,content_version
know_pcos_005,pcos,src_acog_pcos,"PCOS, fertility, and long-term health considerations","Because PCOS can affect ovulation, it's a leading cause of infertility, and it's also associated with longer-term risks like type 2 diabetes and cardiovascular disease, which is part of why ongoing monitoring matters.",APPROVED,CURRENT,2025-04-10,2025-10-15,1
know_pcos_006,pcos,src_acog_pcos,General approaches to managing PCOS,"Management is usually tailored to individual goals and symptoms and can include lifestyle changes, medications to regulate cycles or manage symptoms, and treatments aimed at fertility when relevant.",APPROVED,STALE,2023-05-01,2023-05-01,1
know_meno_001,menopause,src_nia_menopause,What menopause is,"Menopause marks the point when menstrual periods have stopped permanently and pregnancy is no longer possible, officially confirmed after 12 months without a period.",APPROVED,CURRENT,2025-05-12,2025-09-18,1
know_meno_002,menopause,src_nia_menopause,Perimenopause vs. menopause,"Perimenopause is the transition leading up to menopause, when cycles and hormone levels start to shift and symptoms like hot flashes can begin, sometimes years before periods actually stop.",APPROVED,CURRENT,2025-05-12,2025-09-18,1
know_meno_003,menopause,src_nia_menopause,Common symptoms during the menopause transition,"Hot flashes, sleep disruption, mood changes, and vaginal dryness are among the most commonly reported symptoms, though how much they affect daily life varies a great deal from person to person.",APPROVED,CURRENT,2025-05-12,2025-09-18,1
know_meno_004,menopause,src_nia_menopause,What can help with hot flashes,"Options range from simple lifestyle adjustments like dressing in layers and avoiding triggers, to non-hormonal medications and hormone therapy, with the right approach depending on symptom severity and individual health history.",APPROVED,CURRENT,2025-05-12,2025-09-18,1
know_meno_005,menopause,src_nia_menopause,Menopause and long-term health,"The drop in estrogen after menopause is linked to increased risk for conditions like osteoporosis and heart disease, which is part of why staying on top of general health screenings matters during this transition.",APPROVED,CURRENT,2025-05-12,2025-09-18,1
know_meno_006,menopause,src_nia_menopause,Preparing for a conversation with your doctor about menopause,"Bringing a symptom log, a list of questions, and any family health history to an appointment can make it easier to discuss options and get a plan tailored to your situation.",EXPIRED,CURRENT,2022-08-01,2022-08-01,1
know_contra_001,contraception,src_cdc_contraception,Overview of contraception methods,"Contraceptive options range from short-acting methods like pills and condoms to long-acting methods like IUDs and implants, differing in effectiveness, how they're used, and reversibility.",APPROVED,CURRENT,2025-06-01,2026-02-14,2
know_contra_002,contraception,src_cdc_contraception,How contraceptive effectiveness varies by method,"Effectiveness depends heavily on consistent, correct use — methods that don't rely on daily action, like IUDs and implants, tend to have lower real-world failure rates than methods like pills or condoms.",APPROVED,CURRENT,2025-06-01,2026-02-14,2
know_contra_003,contraception,src_cdc_contraception,What long-acting reversible contraception (LARC) means,"LARC methods — intrauterine devices and implants — provide effective, reversible pregnancy prevention for several years without requiring daily or monthly action.",APPROVED,CURRENT,2025-06-01,2026-02-14,2
know_contra_004,contraception,src_acog_ec,What emergency contraception is (and isn't),"Emergency contraception prevents a pregnancy from starting after unprotected sex; it does not end an existing pregnancy and is not the same as medication abortion.",APPROVED,CURRENT,2025-07-01,2025-12-01,1
know_contra_005,contraception,src_acog_ec,When emergency contraception may be used,"Common situations include a missed or late regular contraceptive dose, a condom failure, or sex without any contraception; the copper IUD and EC pills are the two main options, with the IUD being the most effective.",APPROVED,CURRENT,2025-07-01,2025-12-01,1
know_contra_006,contraception,src_cdc_contraception,Contraception and STI protection are separate considerations,"Most contraceptive methods prevent pregnancy but not sexually transmitted infections; condoms are the main method that helps reduce STI risk and can be combined with another method for pregnancy prevention.",APPROVED,CURRENT,2025-06-01,2026-02-14,2
know_contra_007,contraception,src_cdc_contraception,Questions worth considering when choosing a method,"Effectiveness, side effects, how much ongoing effort a method takes, cost and access, and whether you want it to be easily reversible are all reasonable factors to weigh when comparing options with a provider.",APPROVED,CURRENT,2025-06-01,2026-02-14,2
know_preg_001,pregnancy_education,src_medlineplus_prenatal,Why prenatal care matters,"Regular prenatal visits let a provider monitor the health of both parent and fetus throughout pregnancy, catching and managing potential issues earlier than if problems were left unchecked.",APPROVED,CURRENT,2025-03-20,2025-10-05,1
know_preg_002,pregnancy_education,src_medlineplus_prenatal,What to expect at prenatal visits,"Visits typically include checking weight and blood pressure, tracking fetal growth, and running periodic lab and screening tests, with visit frequency increasing as pregnancy progresses.",APPROVED,CURRENT,2025-03-20,2025-10-05,1
know_preg_003,pregnancy_education,src_medlineplus_prenatal,Getting started with first-trimester prenatal care,"Early pregnancy care often focuses on confirming the pregnancy, reviewing medical history, starting prenatal vitamins, and discussing lifestyle factors like diet, alcohol, and medications.",APPROVED,CURRENT,2025-03-20,2025-10-05,1
know_preg_004,pregnancy_education,src_medlineplus_prenatal,Nutrition basics during pregnancy,"A generally balanced diet with adequate folic acid, iron, and calcium supports fetal development, and providers often recommend a prenatal vitamin alongside food-based nutrition.",APPROVED,CURRENT,2025-03-20,2025-10-05,1
know_preg_005,pregnancy_education,src_medlineplus_prenatal,Preparing for pregnancy before you conceive,"Preconception care — reviewing chronic conditions and medications, and starting folic acid ahead of pregnancy — can help identify and address risk factors before conception rather than after.",APPROVED,CURRENT,2025-03-20,2025-10-05,1
know_preg_006,pregnancy_education,src_medlineplus_prenatal,Warning signs to bring up with your provider,"Heavy bleeding, severe abdominal pain, sudden swelling, or a noticeable decrease in fetal movement are examples of symptoms worth contacting a provider about promptly rather than waiting for the next scheduled visit.",NEEDS_REVIEW,CURRENT,2024-09-01,2024-09-01,1
know_cerv_001,cervical_health,src_cdc_cervical,Cervical cancer screening basics: Pap and HPV tests,"The Pap test looks for abnormal cervical cells that could become cancer, while the HPV test checks for the virus most often responsible for those changes; both are used to catch problems early.",APPROVED,CURRENT,2025-08-01,2026-03-01,2
know_cerv_002,cervical_health,src_cdc_cervical,When to start screening and how often,"Screening is generally recommended starting at age 21, with the interval between tests — commonly three years for Pap-only or five years for combined HPV/Pap testing with a normal result — depending on age and test type.",APPROVED,CURRENT,2025-08-01,2026-03-01,2
know_cerv_003,cervical_health,src_cdc_cervical,What an abnormal screening result means,"An abnormal result doesn't necessarily mean cancer — it often means follow-up testing is needed to check for precancerous changes, which are highly treatable when found early.",APPROVED,CURRENT,2025-08-01,2026-03-01,2
know_cerv_004,cervical_health,src_cdc_cervical,How HPV vaccination fits into cervical cancer prevention,"HPV vaccination protects against the virus strains most associated with cervical cancer and works best when given before any exposure to HPV, complementing regular screening rather than replacing it.",APPROVED,CURRENT,2025-08-01,2026-03-01,2
know_cerv_005,cervical_health,src_cdc_cervical,Preparing for a Pap test,"Avoiding intercourse, douching, and vaginal medications for about two days before a Pap test can help avoid interference with results; no special preparation is needed for an HPV-only test.",APPROVED,CURRENT,2025-08-01,2026-03-01,2
know_cerv_006,cervical_health,src_cdc_cervical,Whether screening is still needed after age 65,"Many people can stop routine cervical cancer screening around age 65 if they've had consistent normal results, but individual history affects that decision, so it's worth confirming with a provider rather than assuming.",APPROVED,STALE,2022-11-01,2022-11-01,1
